driver_id,round,position,grid_position,points,status,laps_completed,rarity
hadjar,23,18.0,6.0,0.0,Retired,55.0,Common
bearman,23,19.0,13.0,0.0,Retired,41.0,Common
hulkenberg,23,20.0,11.0,0.0,Retired,6.0,Common
max_verstappen,24,1.0,1.0,25.0,Finished,58.0,Legendary
piastri,24,2.0,3.0,18.0,Finished,58.0,Epic
norris,24,3.0,2.0,15.0,Finished,58.0,Epic
leclerc,24,4.0,5.0,12.0,Finished,58.0,Rare
russell,24,5.0,4.0,10.0,Finished,58.0,Rare
alonso,24,6.0,6.0,8.0,Finished,58.0,Rare
ocon,24,7.0,8.0,6.0,Finished,58.0,Rare
hamilton,24,8.0,16.0,4.0,Finished,58.0,Rare
hulkenberg,24,9.0,18.0,2.0,Finished,58.0,Rare
stroll,24,10.0,15.0,1.0,Finished,58.0,Rare
bortoleto,24,11.0,7.0,0.0,Finished,58.0,Common
bearman,24,12.0,11.0,0.0,Finished,58.0,Common
sainz,24,13.0,12.0,0.0,Finished,58.0,Common
tsunoda,24,14.0,10.0,0.0,Finished,58.0,Common
antonelli,24,15.0,14.0,0.0,Finished,58.0,Common
albon,24,16.0,17.0,0.0,Finished,58.0,Common
hadjar,24,17.0,9.0,0.0,Lapped,57.0,Common
lawson,24,18.0,13.0,0.0,Lapped,57.0,Common
gasly,24,19.0,19.0,0.0,Lapped,57.0,Common
colapinto,24,20.0,20.0,0.0,Lapped,57.0,Common
